X,Y,OBJECTID,FEATURE_LOCATION,FEAT_CENT_EAST,FEAT_CENT_NORTH,longitude,latitude
360551.03,173716.189999999,382,"Lansdowne Court, Car Park PTZ",360551.03,173716.19,-2.56921787666844,51.4610350519686
360551.03,173716.189999999,383,"Lansdowne Court, Rear Entrance (External Fixed) ",360551.03,173716.19,-2.56921787666844,51.4610350519686
360587.96,173678.189999999,384,"Lansdowne Court, Car Park (H5CP), PanoVu #1 - Cabinet",360587.96,173678.19,-2.56868209050073,51.4606959661837
360587.96,173678.189999999,385,"Lansdowne Court, Car Park (H5CP), PanoVu #2 - Footpath",360587.96,173678.19,-2.56868209050073,51.4606959661837
360587.96,173678.189999999,386,"Lansdowne Court, Car Park (H5CP), PanoVu #3 - Car Park South",360587.96,173678.19,-2.56868209050073,51.4606959661837
360587.96,173678.189999999,387,"Lansdowne Court, Car Park (H5CP), PanoVu #4 - Car Park Overview",360587.96,173678.19,-2.56868209050073,51.4606959661837
360540.65,173695.689999999,388,"Lansdowne Court, Car Park (H8CP), PanoVu #1 - Bike Storage/Seating area",360540.65,173695.69,-2.56936499227888,51.4608500037504
360540.65,173695.689999999,389,"Lansdowne Court, Car Park (H8CP), PanoVu #2 - Entrance road/Car Park South",360540.65,173695.69,-2.56936499227888,51.4608500037504
360540.65,173695.689999999,390,"Lansdowne Court, Car Park (H8CP), PanoVu #3 - Car Park North",360540.65,173695.69,-2.56936499227888,51.4608500037504
360540.65,173695.689999999,391,"Lansdowne Court, Car Park (H8CP), PanoVu #4 - Rear Entrance Car Park/Access Road",360540.65,173695.69,-2.56936499227888,51.4608500037504
358536,171786.01,392,SS4 Camera. Dean Crescent. SL Column 1 - DEPLOYABLE 3G CAMERA,358536,171786.01,-2.59799474308651,51.4435356920685
358838.7,173372.789999999,393,Lewin's Mead,358838.7,173372.79,-2.59382409600876,51.4578249555908
359137.3,172815.560000001,394,Attached to column 5,359137.3,172815.56,-2.58946205548995,51.4528364225653
359437,172491,395,Adj ICO29,359437,172491,-2.5851119343247,51.4499398510661
359167.91,172784.57,396,Victoria Street/Counterslip,359167.91,172784.57,-2.58901797403152,51.4525599985403
360369.51,177846.109999999,397,adj entrance to Beatrix Place,360369.51,177846.11,-2.57229546343318,51.4981544716847
359456.77,176591.01,398,Gloucester Road/Filton Avenue,359456.77,176591.01,-2.58529905613502,51.4868049659787
359411.64,169517.24,399,Filwood Broadway,359411.64,169517.24,-2.58513400498842,51.4232010125156
359388,169526,400,Creswicke Road mounted to street lighting column 13,359388,169526,-2.58547502418502,51.4232780774395
359090.07,173860.699999999,401,On Col.10,359090.07,173860.7,-2.59026288469183,51.4622302447984
359121,173947,402,Jamaica Street/ Stokes Croft,359121,173947,-2.58982769117634,51.4630084455988
359130.6,174071.880000001,403,Stokes Croft/Ashley Road,359130.6,174071.88,-2.58970399019255,51.4641319850412
358462.07,168929.050000001,404,Att Col 50,358462.07,168929.05,-2.59872131868426,51.4178434516388
358355.16,169039.890000001,405,Front of pavement near P45,358355.16,169039.89,-2.6002719610514,51.4188321752114
358041.84,170385.220000001,406,Parson Street/Hartcliffe Way,358041.84,170385.22,-2.60493893258957,51.43090499326
358065.55,169769.689999999,407,Hartcliffe Way opposite Bristol Waste - Column 20.,358065.55,169769.69,-2.60452447548625,51.4253725662977
356974.09,177637.42,408,On Col 24 Falcondale Road,356974.09,177637.42,-2.62118145130296,51.4960292629993
